number,label,train,habitat_1_mean,habitat_1_std,habitat_1_area,habitat_1_contrast,habitat_1_dissimilarity,habitat_1_homogeneity,habitat_1_ASM,habitat_1_correlation,habitat_2_mean,habitat_2_std,habitat_2_area,habitat_2_contrast,habitat_2_dissimilarity,habitat_2_homogeneity,habitat_2_ASM,habitat_2_correlation,habitat_3_mean,habitat_3_std,habitat_3_area,habitat_3_contrast,habitat_3_dissimilarity,habitat_3_homogeneity,habitat_3_ASM,habitat_3_correlation
1,1,1,0.121945783495903,0.0235477443784475,8828,35.8340473688465,4.26683372403201,0.21325479661238,0.0036465500262114,0.4768099283878240,0.1886489987373350,0.0202335808426141,11167,31.09203495316530,4.286980574589800,0.2014601254883420,0.0037523220965844,0.3672551607346970,0.2696319818496700,0.0465005040168762,3695,49.97067448680350,4.694875017455660,0.1961401624659170,0.0034524819178251,0.8198839928897420
2,1,1,0.05422979965806,0.0225495640188455,10420,25.430500153421300,3.622232937360280,0.2530332842755250,0.0038617057713728,0.5870673062963380,0.1295183151960370,0.023582087829709,8834,41.35102807433770,5.037663107947810,0.1675640219229550,0.0029036007539899,0.3560532179798640,0.2230900824069980,0.0455573238432407,4856,39.400501372806500,4.829175122358840,0.1716438512192590,0.0022993231593939,0.8551633152067390
3,1,1,0.0438722558319568,0.0261925309896469,28278,48.50555083326890,4.939211292275200,0.2247552641116000,0.002943128950031,0.4129164293818400,0.1293294727802280,0.0257842782884836,25110,54.686010051759100,5.817117995649240,0.1474793260561760,0.0022882581452729,0.3091333297221750,0.2294708788394930,0.0476306714117527,12538,122.90884766966800,7.467548902628630,0.140548050980445,0.0015701606086028,0.6053166921217840
4,1,1,0.1031374707818030,0.0250286068767309,12871,43.31746513038210,4.790357792601580,0.2000544830452880,0.0027572382475587,0.4558178263707820,0.180855318903923,0.0229650419205427,12311,36.60758166017380,4.703626011387470,0.1795607358562120,0.003046583205582,0.406131814669224,0.270429790019989,0.0382265970110893,5173,31.682383915749200,4.413834370512210,0.187372994735582,0.0023934610640293,0.8337106889326480
5,1,1,0.075503334403038,0.0455972962081432,9260,106.63637650389200,7.288228355744280,0.1587931958147760,0.0018809400860509,0.5524657014610910,0.2216782718896870,0.0437625832855701,11749,91.88784961445450,7.420267372359360,0.1167915529849730,0.0009822466905296,0.5794126328377610,0.3883323669433590,0.0696262940764427,5819,99.61758923952410,7.930056906363170,0.1083281749649540,0.0007441317236582,0.8424933998271710
6,1,1,0.1387377232313160,0.03842344135046,27378,87.61386676813520,6.626668116217760,0.1543904106313900,0.0014314245627029,0.5153583173850340,0.2490940541028980,0.0359350219368934,27319,86.99797415298640,6.988417743625570,0.1360398159513550,0.0013762166043717,0.4296773607412540,0.3986708521842960,0.0682666227221489,9698,115.4384899828910,7.321485733208240,0.1265871741082250,0.0009773767815897,0.811422151708194
7,1,1,0.0291970297694206,0.0194059126079082,6821,27.144559758955500,3.807432206226980,0.2590401757024990,0.0061248918284331,0.4049240500374750,0.0917305350303649,0.0196906458586454,6770,26.368898128898100,4.072016632016630,0.1967621365355140,0.0043213298697706,0.4198048619209400,0.1713799089193340,0.0344268083572387,3086,34.4703177257525,4.645066889632110,0.1723978324765020,0.0026363834017516,0.7852336417867000
8,1,1,0.0823208540678024,0.03131003677845,39222,50.23908786558020,4.575390057482160,0.2503059243386800,0.0026377533414835,0.5950387585368850,0.1798581928014760,0.027591997757554,45649,56.94119248960870,5.580636376666190,0.1766362162914000,0.0021227170812823,0.3800810425322460,0.2782164812088010,0.0448925569653511,20454,69.5751503955284,5.19506418454834,0.1980600502401030,0.0023519887743319,0.7365293788431400
9,1,1,0.0441960543394088,0.0274682454764843,21419,50.17229390628860,5.177574443943380,0.1958519514356050,0.0024241964790109,0.4513081545320530,0.1562273800373080,0.0427201092243194,8073,67.54603037943550,5.992620380050430,0.1525815043296690,0.0015552485130282,0.6818107201266680,0.3626813888549800,0.0943635255098342,1600,50.08504398826980,5.749266862170090,0.1394790974270180,0.0011991425942329,0.955997268482376
10,1,1,0.0691620409488678,0.0222107116132974,16410,23.79723918363470,3.516025564874430,0.2598789367171780,0.0041611876419622,0.5969452675632020,0.1535414755344390,0.0262912791222333,9094,40.53973947517460,4.820275627713800,0.1864120577235720,0.0026265307953191,0.493786764900928,0.251354843378067,0.0465056411921978,5153,66.48440598521720,5.568956192536510,0.1686423495386360,0.0022120328150132,0.7498421833769210
11,1,1,0.0083801336586475,0.0118752336129546,57232,15.425248679445200,2.729721905094860,0.4061905537802070,0.0597310027536803,0.1925768551609660,0.0752318874001503,0.0244961809366941,20871,33.01193868180000,4.3150210751877900,0.2048526436825920,0.0036396225204822,0.5249146538978180,0.1879975199699400,0.0530053377151489,6135,39.53212553212550,4.861498861498860,0.1717441851279280,0.0017908325006632,0.8954293802058720
12,1,1,0.0274804811924695,0.0155841074883937,10901,15.1215859030837,2.895074088906690,0.2939326908222400,0.0074869434831609,0.491814829914263,0.0773968547582626,0.0163131617009639,8730,18.088751890194300,3.3422123996743000,0.2389807240610600,0.0064021334838908,0.4179214366910920,0.1485984176397320,0.0333358086645603,3324,22.59877800407330,3.707461581188670,0.2166345370757790,0.0038210469434829,0.8361592072785760
